formula,kpoints,energy_per_fu,energy_per_atom,energy,O,Zr,La,formation_energy
La,10x10x3,-5.00458616,-5.00458616,-20.01834464,0.0,0.0,1.0,0.0
O2,2x2x2,-14.01320413,-7.006602065,-14.01320413,2.0,0.0,0.0,0.0
Zr,9x9x5,-9.84367624,-9.84367624,-19.68735248,0.0,1.0,0.0,0.0
Zr,6x6x6,-9.818516226666667,-9.818516226666667,-58.91109736,0.0,1.0,0.0,0.025160013333334064
La2O3,3x3x3,-49.046189555,-9.809237911,-392.36951644,3.0,0.0,2.0,-18.01721104
Zr2O,5x5x2,-32.42291351666667,-10.807637838888889,-194.5374811,1.0,2.0,0.0,-5.728958971666668
Zr3O,5x5x5,-42.524204305,-10.63105107625,-85.04840861,1.0,3.0,0.0,-5.986573519999993
Zr3O,5x5x5,-42.472744875,-10.61818621875,-84.94548975,1.0,3.0,0.0,-5.935114089999992
ZrO2,3x3x3,-34.83230881,-11.610769603333333,-139.32923524,2.0,1.0,0.0,-10.975428440000002
ZrO2,3x3x1,-34.807990365,-11.602663455,-278.46392292,2.0,1.0,0.0,-10.951109995000003
La2Zr2O7,3x3x3,-119.619571095,-10.874506463181818,-239.23914219,7.0,2.0,2.0,-40.87683184
